,Coordinates,region_name,gps_lat,gps_lng,capacity,weight,payoff,priority,round
3318,"48.80180240000001,2.4213752",Île-de-France,48.79424,2.4202617142857,5,0.06666666666666667,22500,1546.1666666666667,1
3222,"48.239973,-2.889291",Bretagne,48.239126711712,-2.8939029279279,5,0.06666666666666667,22500,1498.1666666666667,1
1371,"43.2807503,-0.3873649",Nouvelle-Aquitaine,43.272299591837,-0.40521959183673,5,0.1111111111111111,22500,572.4444444444445,1
2999,"43.3097904,6.013676999999999",Provence-Alpes-Côte d'Azur,43.333827560976,6.0925573170732,5,0.1,22500,1386.5,1
3367,"42.6231004,8.8873407",Corse,42.615508,8.907482,5,0.0,0,1683.5,1
360,"48.1183462,5.140126599999999",Grand Est,48.098928977273,5.1414551893939,5,0.08333333333333333,22500,67.08333333333334,1
1548,"47.8404691,1.914299",Centre-Val de Loire,47.859372833333,1.89882575,5,0.07692307692307693,22500,661.1153846153846,1
16,"47.7925799,7.171125",Normandie,49.017000882353,0.32800397058824,5,0.08333333333333333,22500,-104.91666666666666,1
2217,"48.1138135,-1.6392569",Bretagne,48.0906507,-1.6654261,5,0.06666666666666667,22500,995.6666666666666,1
3366,"44.743741,1.490855",Occitanie,44.796758518519,1.4642220634921,5,0.08333333333333333,22500,1570.0833333333333,1
3074,"45.3307967,2.4744663",Auvergne-Rhône-Alpes,45.332331823204,2.4775264640884,5,0.09090909090909091,22500,1424.0454545454545,1
1564,"45.5359108,3.251648",Auvergne-Rhône-Alpes,45.542261041667,3.2375347222222,5,0.09090909090909091,22500,669.0454545454545,1
2253,"50.6184319,3.0511827",Hauts-de-France,50.6335574,3.0808253,5,0.058823529411764705,22500,1013.7058823529412,1
1304,"48.87187549999999,2.313111",Île-de-France,48.8634799,2.3591145,5,0.06666666666666667,22500,539.1666666666666,1
1889,"43.3729853,5.353742899999999",Provence-Alpes-Côte d'Azur,43.3426011,5.38872,5,0.1,22500,831.5,1
446,"48.9084896,2.6213908",Auvergne-Rhône-Alpes,46.41694125,3.8887414112903,5,0.09090909090909091,22500,110.04545454545455,1
1628,"44.0428419,1.1049074",Occitanie,44.048446828087,1.1042109443099,5,0.08333333333333333,22500,701.0833333333334,1
