,priority,nomnewregi,geometry,name,weight,payoff,capacity,round
4,-228.4844718977114,Auvergne-Rhône-Alpes,POINT (850069.344074403 6509465.427896475),station5,0.09090909090909091,22500.0,5.0,1
10,-226.7406640625,Bretagne,POINT (360675.91958616755 6795753.298448378),station11,0.06666666666666667,22500.0,5.0,1
126,-226.54120570185023,Centre-Val de Loire,POINT (602482.2399 6637844.871),station127,0.07692307692307693,22500.0,5.0,1
76,-225.70178810160428,Bretagne,POINT (270645.777999997 6745088.264),station77,0.06666666666666667,22500.0,5.0,1
18,-225.7620403955853,Normandie,POINT (449168.92114944704 6904788.401783387),station19,0.08333333333333333,22500.0,5.0,1
37,-226.34533110119048,Pays de la Loire,POINT (358947.56711452064 6696362.009825039),station38,0.2,22500.0,5.0,1
24,-225.7561810205853,Normandie,POINT (557706.8655449795 6925182.763818406),station25,0.08333333333333333,22500.0,5.0,1
43,-226.33947172619048,Pays de la Loire,POINT (436351.71341991454 6714426.54695361),station44,0.2,22500.0,5.0,1
50,-225.7307903955853,Normandie,POINT (567365.7447974648 6904009.590228151),station51,0.08333333333333333,22500.0,5.0,1
69,-226.31408110119048,Pays de la Loire,POINT (489744.373999998 6776665.856),station70,0.2,22500.0,5.0,1
111,-226.29380580357142,Pays de la Loire,POINT (379094.08335043327 6642700.370657285),station112,0.2,22500.0,5.0,1
138,-225.70576016865078,Normandie,POINT (558766.7777888841 6950176.0806072885),station139,0.08333333333333333,22500.0,5.0,1
74,-225.70551215277777,Normandie,POINT (578233.2654603941 6880330.095297512),station75,0.08333333333333333,22500.0,5.0,1
124,-226.28111049107142,Pays de la Loire,POINT (421138.29068441666 6778337.158019743),station125,0.2,22500.0,5.0,1
39,-225.66512231258326,Centre-Val de Loire,POINT (614082.9888316788 6761726.541422102),station40,0.07692307692307693,22500.0,5.0,1
88,-225.69208829365078,Normandie,POINT (526679.579999998 6922669.49),station89,0.08333333333333333,22500.0,5.0,1
54,-225.65047387508326,Centre-Val de Loire,POINT (590706.9361302109 6814664.54807975),station55,0.07692307692307693,22500.0,5.0,1
61,-225.64363793758326,Centre-Val de Loire,POINT (525617.285024176 6691651.480735951),station62,0.07692307692307693,22500.0,5.0,1
108,-225.67255704365078,Normandie,POINT (498416.8670731861 6922528.118111854),station109,0.08333333333333333,22500.0,5.0,1
86,-225.56181414327096,Bretagne,POINT (267890.29146025184 6841606.650632917),station87,0.06666666666666667,22500.0,5.0,1
29,-225.5146693934895,Hauts-de-France,POINT (667345.956 6890249.014),station30,0.058823529411764705,22500.0,5.0,1
93,-225.51370892817354,Hauts-de-France,POINT (713168.7124986281 7055768.318666984),station94,0.058823529411764705,22500.0,5.0,1
44,-225.5000209559895,Hauts-de-France,POINT (692841.7009948363 7024116.675903254),station45,0.058823529411764705,22500.0,5.0,1
45,-225.4990443934895,Hauts-de-France,POINT (687917.821000002 6972108.105),station46,0.058823529411764705,22500.0,5.0,1
41,-225.51671006944446,Bourgogne-Franche-Comté,POINT (841965.0969997504 6659252.602229562),station42,0.0625,22500.0,5.0,1
