,point,coords,trucks,mindist,trucks_original,fitness,type,profitability,profitable,reg
0,507A008942,"(806765.97, 6530243.57)",0.04977613092481087,0.36707859872090887,1612.0,0.0012484766430345268,big,29840.0,1.0,Auvergne-Rhône-Alpes
1,9A004074,"(981020.18, 6546835.01)",0.07293500077196233,0.2654916775622503,2362.0,0.05630416564549343,big,44840.0,1.0,Auvergne-Rhône-Alpes
2,23A004669,"(848909.88, 6526669.69)",0.41398795738767946,0.042575731834575685,13407.0,0.6124667897146041,big,265740.0,1.0,Auvergne-Rhône-Alpes
3,15A043201,"(860183.6, 6525402.72)",0.17545159796201945,0.05014877228620457,5682.0,0.25314764248578825,big,111240.0,1.0,Auvergne-Rhône-Alpes
4,32A0007N69,"(843664.14, 6491196.13)",0.8768565693994133,0.10008480877101705,28397.0,1.2952678923449166,big,565540.0,1.0,Auvergne-Rhône-Alpes
5,403A000671,"(836524.77, 6565504.37)",0.3620194534506716,0.10021784249628266,11724.0,0.522985611676751,big,232080.0,1.0,Auvergne-Rhône-Alpes
6,20A004338,"(864653.55, 6507806.41)",0.2798209047398487,0.007366153542367548,9062.0,0.41825812640129956,big,178840.0,1.0,Auvergne-Rhône-Alpes
7,41A004669,"(852958.02, 6513295.74)",0.5399722093561834,0.023088403579717903,17487.0,0.8053406333183315,big,347340.0,1.0,Auvergne-Rhône-Alpes
8,43N000726,"(852336.5, 6430267.8)",0.005619885749575421,0.11003830937925001,182.0,0.0,big,1240.0,1.0,Auvergne-Rhône-Alpes
9,198A004001,"(846016.31, 6579953.67)",0.04159333024548402,0.0894626664923672,1347.0,0.044497462069752594,big,24540.0,1.0,Auvergne-Rhône-Alpes
10,142A000726,"(838696.36, 6360045.49)",0.4033039987648603,0.034312520347555206,13061.0,0.5980934940777793,big,258820.0,1.0,Auvergne-Rhône-Alpes
11,6A000769,"(842815.69, 6512880.2)",0.03622047244094488,0.018589590162964124,1173.0,0.0506127906288245,big,21060.0,1.0,Auvergne-Rhône-Alpes
12,55A000726,"(847309.67, 6442597.33)",0.41865060985023933,0.006653534472491616,13558.0,0.6266452078808606,big,268760.0,1.0,Auvergne-Rhône-Alpes
13,83N000726,"(839402.09, 6392178.4)",0.014605527250270187,0.11155358269043748,473.0,0.0,big,7060.0,1.0,Auvergne-Rhône-Alpes
0,78N008843,"(766599.29, 6425892.52)",0.0037362976686737687,0.8378244089942316,121.0,1.4585370488066256,medium,20.0,1.0,Auvergne-Rhône-Alpes
1,289A008919,"(659456.01, 6502839.19)",0.045885440790489423,0.7187064149215956,1486.0,1.761497365266968,medium,27320.0,1.0,Auvergne-Rhône-Alpes
2,27N000703,"(728287.73, 6596225.62)",0.018866759302146055,0.6465885365138159,611.0,1.7128433202562907,medium,9820.0,1.0,Auvergne-Rhône-Alpes
3,40N009073,"(970495.08, 6500274.43)",0.0051567083526323915,0.5995478634584868,167.0,0.901051584538674,medium,940.0,1.0,Auvergne-Rhône-Alpes
4,49N000726,"(847926.11, 6423529.76)",0.01673614327620812,0.0062301368910734085,542.0,0.13940196689001452,medium,8440.0,1.0,Auvergne-Rhône-Alpes
5,4A007563,"(711527.12, 6515543.22)",0.24381658175081056,0.026948503725670973,7896.0,1.6974014749214383,medium,155520.0,1.0,Auvergne-Rhône-Alpes
6,13N010207,"(826218.31, 6386701.29)",0.008738613555658484,0.16542059721959212,283.0,0.2725082669020789,medium,3260.0,1.0,Auvergne-Rhône-Alpes
7,41A004669,"(852958.02, 6513295.74)",0.5399722093561834,0.023088403579717903,17487.0,0.5468987304300987,medium,347340.0,1.0,Auvergne-Rhône-Alpes
8,364A007163,"(707781.59, 6541448.43)",0.12968967114404817,0.09972307287487962,4200.0,1.6538547931429206,medium,81600.0,1.0,Auvergne-Rhône-Alpes
9,136N012215,"(715465.42, 6461320.08)",0.0032731202717307395,0.7144522977174045,106.0,1.7176088095869522,medium,-280.0,0.0,Auvergne-Rhône-Alpes
10,419A008963,"(729337.74, 6527983.58)",0.0799135402192373,0.2652339738453502,2588.0,1.3214018147004758,medium,49360.0,1.0,Auvergne-Rhône-Alpes
11,52N009073,"(977244.06, 6494291.09)",0.008615099583140343,0.6980677661396073,279.0,1.008226917309243,medium,3180.0,1.0,Auvergne-Rhône-Alpes
12,140A004174,"(941975.31, 6548383.32)",0.026462868612011733,0.11744569257219262,857.0,0.6478299279888527,medium,14740.0,1.0,Auvergne-Rhône-Alpes
13,18A004201,"(862654.98, 6530285.72)",0.2557356800988112,0.013229978893583197,8282.0,0.341796493234419,medium,163240.0,1.0,Auvergne-Rhône-Alpes
