,region,quantity_h2_to_reach,quantity_h2_proposed,small,medium,large,total
0,Auvergne-Rhône-Alpes,220474,221000,42,27,14,83
1,Bourgogne-Franche-Comté,93585,94000,17,12,6,35
2,Bretagne,39267,40000,7,6,2,15
3,Centre-Val de Loire,41923,42000,8,6,2,16
4,Grand Est,90307,92000,18,12,5,35
5,Hauts-de-France,51039,53000,10,7,3,20
6,Normandie,49026,50000,10,6,3,19
7,Nouvelle-Aquitaine,109055,110000,20,14,7,41
8,Occitanie,82757,83000,15,11,5,31
9,Pays de la Loire,36232,37000,7,5,2,14
10,Provence-Alpes-Côte d'Azur,42799,44000,9,6,2,17
11,Île-de-France,116459,117000,22,15,7,44
12,Total,972923,983000,185,127,58,370
