region,small,medium,large,total,deps
Auvergne-Rhône-Alpes,48,32,15,95,"['01', '03', '07', '15', '26', '38', '42', '43', '63', '69', '73', '74']"
Bourgogne-Franche-Comté,21,14,6,41,"['21', '25', '39', '58', '70', '71', '89', '90']"
Bretagne,9,5,3,17,"['22', '29', '35', '56']"
Centre-Val de Loire,9,6,3,18,"['18', '28', '36', '37', '41', '45']"
Grand Est,19,14,6,39,"['08', '10', '51', '52', '54', '55', '57', '67', '68', '88']"
Hauts-de-France,12,8,3,23,"['02', '59', '60', '62', '80']"
Normandie,12,7,3,22,"['14', '27', '50', '61', '76']"
Nouvelle-Aquitaine,24,15,8,47,"['16', '17', '19', '23', '24', '33', '40', '47', '64', '79', '86', '87']"
Occitanie,18,12,6,36,"['09', '11', '12', '30', '31', '32', '34', '46', '48', '65', '66', '81', '82']"
Pays de la Loire,8,6,2,16,"['44', '49', '53', '72', '85']"
Provence-Alpes-Côte d'Azur,10,6,3,19,"['04', '05', '06', '13', '83', '84']"
Île-de-France,26,17,8,51,"['75', '77', '78', '91', '92', '93', '94', '95']"
