,point,coords,trucks,mindist,trucks_original,fitness,type,profitability,profitable,reg
0,19A004601,"(848118.62, 6530176.91)",0.7555967268797282,0.019145509899119905,24470.0,1.1295659883397684,big,487000.0,1.0,Auvergne-Rhône-Alpes
1,18A004669,"(847729.36, 6531874.41)",0.8053111008182801,0.013522673131501753,26080.0,1.2052621166011197,big,519200.0,1.0,Auvergne-Rhône-Alpes
0,280A007103,"(671665.29, 6601144.33)",0.054438783387370696,0.22234757630061075,1763.0,1.621143056277554,medium,32860.0,1.0,Auvergne-Rhône-Alpes
1,102A000726,"(842441.09, 6398504.77)",0.4346456692913386,0.1293670239483646,14076.0,1.973455776475848,medium,279120.0,1.0,Auvergne-Rhône-Alpes
2,51N000703,"(735568.45, 6575892.07)",0.015871545468581133,0.6279511654409626,514.0,1.7042568951008699,medium,7880.0,1.0,Auvergne-Rhône-Alpes
3,3N000703,"(718802.14, 6617989.03)",0.030693222170758067,0.7982727456594003,994.0,1.770175045868578,medium,17480.0,1.0,Auvergne-Rhône-Alpes
4,1A004074,"(985933.83, 6541480.76)",0.06231279913540219,0.3605054749276209,2018.0,1.6704644416136885,medium,37960.0,1.0,Auvergne-Rhône-Alpes
5,65A000726,"(848666.22, 6432135.15)",0.40975760382893317,0.11994054783930379,13270.0,1.9163891071371424,medium,263000.0,1.0,Auvergne-Rhône-Alpes
0,10A071903,"(719157.49, 6555904.3)",0.02544387833873707,0.3079309274292594,824.0,1.2713190201124593,small,14680.0,1.0,Auvergne-Rhône-Alpes
1,54N009073,"(978278.14, 6496325.85)",0.008615099583140343,0.707581882324024,279.0,1.295864300592334,small,3780.0,1.0,Auvergne-Rhône-Alpes
2,329A008963,"(685818.73, 6526035.26)",0.04276671298440636,0.3293128821871915,1385.0,1.3457980161138996,small,25900.0,1.0,Auvergne-Rhône-Alpes
3,63N012215,"(665239.32, 6427449.06)",0.0021614945190674695,0.13387079939169044,70.0,1.1812949629575415,small,-400.0,0.0,Auvergne-Rhône-Alpes
4,1A0041N74,"(939285.66, 6564003.71)",0.035602902578354176,0.32538991018277647,1153.0,1.1721608017551233,small,21260.0,1.0,Auvergne-Rhône-Alpes
5,11N000703,"(723554.28, 6610960.88)",0.015346611085379033,0.7264948830841703,497.0,1.7518270237658566,small,8140.0,1.0,Auvergne-Rhône-Alpes
6,99N000758,"(711956.33, 6626952.85)",0.015346611085379033,0.8026580543632867,497.0,1.9159278238254256,small,8140.0,1.0,Auvergne-Rhône-Alpes
7,81N007903,"(768872.26, 6595650.65)",0.0211826462868612,0.11497383322385878,686.0,1.170232291957689,small,11920.0,1.0,Auvergne-Rhône-Alpes
0,144A003625,"(910176.82, 6680722.02)",1.0,0.26479072294808187,14378.0,1.4470418554103837,big,285160.0,1.0,Bourgogne-Franche-Comté
0,39A003690,"(989694.18, 6727598.41)",0.9683544303797469,0.12470197340339288,13923.0,2.390355741053898,medium,276060.0,1.0,Bourgogne-Franche-Comté
1,121A003971,"(874971.98, 6596608.04)",0.857073306440395,0.5072934850885435,12323.0,2.3770230409847604,medium,244060.0,1.0,Bourgogne-Franche-Comté
0,139A007758,"(706161.64, 6666236.81)",0.023090833217415497,0.8957749681802872,332.0,1.5709343135853777,small,4840.0,1.0,Bourgogne-Franche-Comté
1,48A000589,"(710816.35, 6807310.14)",0.3147169286409793,0.19867527881176053,4525.0,1.77134119595554,small,88700.0,1.0,Bourgogne-Franche-Comté
2,4A001989,"(719289.77, 6793381.91)",0.19745444428988732,0.41406161902334876,2839.0,1.7513489803858375,small,54980.0,1.0,Bourgogne-Franche-Comté
3,28A001989,"(708165.49, 6773902.06)",0.3814160523021283,0.41954728034443656,5484.0,1.8047418938561473,small,107880.0,1.0,Bourgogne-Franche-Comté
0,61N001222,"(273225.95, 6842951.81)",0.5343111576741749,0.6309149636214039,1020.0,2.223585646760596,medium,18000.0,1.0,Bretagne
1,41N015735,"(359582.28, 6789229.65)",1.0,0.12454378767720738,1909.0,2.537363136303162,medium,35780.0,1.0,Bretagne
0,78N016529,"(175137.7, 6815274.56)",0.1283394447354636,0.7251989192614595,245.0,1.7933570816325486,small,3100.0,1.0,Bretagne
0,78A001028,"(614491.93, 6776635.86)",1.0,0.27294789730487456,13296.0,2.5818843691914624,medium,263520.0,1.0,Centre-Val de Loire
1,258A001037,"(513644.75, 6653945.18)",0.4851083032490975,0.7615650503490976,6450.0,2.213577818353827,medium,126600.0,1.0,Centre-Val de Loire
0,106A000645,"(703630.24, 6775827.96)",0.24029783393501805,0.4340405309255425,3195.0,1.8771423930630897,small,62100.0,1.0,Centre-Val de Loire
0,3A033054,"(934374.06, 6842007.67)",1.0,0.03860067171104785,17381.0,1.4922798656577905,big,345220.0,1.0,Grand Est
0,86A003152,"(863282.12, 6732855.03)",0.8532880731833612,0.5532762961705067,14831.0,2.519270962034513,medium,294220.0,1.0,Grand Est
1,0A000467,"(1048610.95, 6849594.05)",0.5739600713422703,0.05290772820464384,9976.0,2.0898323898036635,medium,197120.0,1.0,Grand Est
0,212A000451,"(836596.57, 6887533.58)",0.16949542603992865,0.5535473142184041,2946.0,1.4381137198470069,small,57120.0,1.0,Grand Est
1,186A000510,"(833511.52, 6780020.02)",0.1861803118347621,0.7623953427810028,3236.0,1.6224481553253625,small,62920.0,1.0,Grand Est
2,88A000589,"(744803.97, 6793595.49)",0.11432023473908291,0.43102761670695083,1987.0,1.7805475083799172,small,37940.0,1.0,Grand Est
3,100A003152,"(866416.77, 6745628.79)",0.42661526954720674,0.6858452654276649,7415.0,1.6194424189474357,small,146500.0,1.0,Grand Est
0,136A000180,"(691298.91, 6990414.29)",1.0,0.602561014770313,16944.0,2.680768304431094,medium,336480.0,1.0,Hauts-de-France
1,32A000160,"(667686.69, 6891809.56)",0.9262275731822474,0.13001198809954534,15694.0,2.465231169612111,medium,311480.0,1.0,Hauts-de-France
0,0A002662,"(623009.09, 7093858.59)",0.14111189801699717,0.5253832880299311,2391.0,1.8857859218264572,small,46020.0,1.0,Hauts-de-France
1,136A000180,"(691298.91, 6990414.29)",1.0,0.602561014770313,16944.0,1.5965141636600384,small,337080.0,1.0,Hauts-de-France
0,122A001376,"(549501.32, 6917836.17)",0.591688541915249,0.040514720652729035,17356.0,2.1038429581110676,medium,344720.0,1.0,Normandie
1,0N081414,"(459222.49, 6901568.34)",1.0,0.01376318022365963,29333.0,2.504128954067098,medium,584260.0,1.0,Normandie
0,149A002976,"(610514.17, 6965685.5)",0.09047830088978284,0.4312301476481793,2654.0,1.803977239033799,small,51280.0,1.0,Normandie
1,57N001350,"(369437.55, 6958054.48)",0.003238673166740531,1.0,95.0,1.5699487979161617,small,100.0,1.0,Normandie
0,205A006364,"(314867.29, 6260714.26)",1.0,0.4122600670077188,20830.0,1.4175479865984562,big,414200.0,1.0,Nouvelle-Aquitaine
0,539A001033,"(425094.85, 6429733.08)",0.7079692750840134,0.021894970041654048,14747.0,2.2145377660965098,medium,292540.0,1.0,Nouvelle-Aquitaine
1,435A001017,"(415286.08, 6527798.76)",0.14378300528084492,0.422674291397503,2995.0,1.7705852927000958,medium,57500.0,1.0,Nouvelle-Aquitaine
2,90A006340,"(379420.88, 6339152.59)",0.45765722515602497,0.6962114810836367,9533.0,2.166520669481116,medium,188260.0,1.0,Nouvelle-Aquitaine
